sentence,label
"The works will include the laying of natural stone pavements and the installation of underground heating , and surface water drainage systems .",1
Teleste has some 30 offices worldwide and is listed on the Nordic Exchange in Helsinki .,1
Officials did not disclose the contract value .,1
`` Rapala is excited to be partnering with RBFF and other industry leaders on this holiday promotion . '',1
L&T 's net profit for the whole 2010 dropped to EUR 36 million from EUR 45 million for 2009 .,0
Changes to the as-built models from the design were communicated to the subcontractors to accommodate them into the steel and GRC fabrication process .,1
There are no substitutes to AC drives .,1
Aviation Systems Maintenance is based in Kansas and generated net sales of USD 2.6 million for 2008 .,1
"Paper companies were in negative territories , with Stora Enso R shedding 1.62 pct to 12.73 eur , UPM-Kymmene down 0.80 pct at 18.64 eur and M-real B 0.18 pct lower at 5.57 eur .",0
Ramirent is the leading construction machinery rental company in Finland with annual sales of EUR 134 million in 2009 and operating nationwide through 83 outlets and 612 employees .,2
"It is positive that the company it recruited Harri Koponen as CEO , according to Affarsvarlden .",1
"Before FKI , John Jiang has worked in several general manager or senior business consultant positions for international companies in China .",1
Net sales fell by 5 % from the previous accounting period .,0
"As production of other products will continue normally , temporary lay-offs concern simultaneously at most 80 employees .",0
"October-December sales were 302 mln eur , or a 25.3 pct increase year on year .",2
CEO of the company Tarmo Noop said the growth in the sale of premium beers was the biggest .,2
"The recovery of demand that started toward the end of 2009 , continued in January-March 2010 .",2
The company plans to increase the unit 's specialist staff to several dozen -- depending on the market situation during 2010 .,1
The company then said it will focus its resources on clinical research .,1
Group net sales in the third quarter of 2007 totaled EUR 142.3 mn and operating profit EUR 4.3 mn .,1
Our superior customer centricity and expertise in digital services set us apart from our competitors .,2
Dragonfly Love is another video shot from start to finish using the Nokia N8 .,1
"Master of Mayawas jointly developed by Nokia Siemens Networks and UFA - FremantleMedia , and will be actively advertised by Maxis in the end of May 2007 .",1
"TietoEnator itself uses Nokia 's Intellisync Mobile Suite 's wireless email , calendar , and device management capabilities , and the company will now extend these services to its customers .",2
"Auburn 's sales in 2007 were CAD 41 million ( approximately EUR 27 million ) , and the company employs some 150 people .",1
"When new types of network elements are added to the network , the conversion file is updated by adding the information required for converting the message format of the new network element type to the format understood by the management system .",1
"Motorola Inc. of the United States came second with shipments of 217.4 million units for a 21.3 percent market share , followed by South Korea 's Samsung Electronics Co. with shipments of 118.0 million units for an 11.6 percent share .",1
"It now owns 80,565 shares in Amer Sports Corporation , equaling 0.11 % of the company 's share capital and voting rights .",1
"Finnair 's Tallinn-based subsidiary , Aero AS , carried 23,335 passengers , a decline of 60.8 % , on routes between Helsinki and the Baltic capitals and within Southern Finland .",0
"According to HKScan Finland , the plan is to increase J+ñrvi-Suomen Portti 's net sales to EUR 80mn to EUR 100mn .",2
"The company is in charge of all natural gas storage activities in France , Great Britain , and Germany .",1
The fair value of the company 's investment properties grew to EUR 2.803 billion at the end of March 2009 from EUR 2.691 million a year ago .,2
"The German company has also signed a code share agreement with another Oneworld member -- American Airlines Inc , part of US-based AMR Corp ( NYSE : AMR ) .",2
"The financial impact is estimated to be an annual improvement of EUR2 .0 m in the division 's results , as of fiscal year 2008 .",2
"Finnish power supply solutions and systems provider Efore Oyj said its net loss widened to 3.2 mln euro $ 4.2 mln for the first quarter of fiscal 2006-2007 ending October 31 , 2007 from 900,000 euro $ 1.2 mln for the same period of fiscal 2005-06 .",0
"The new majority owners of Aspocomp Thailand Co. , Ltd are certain private persons belonging to immediate circle of Aspocomp 's present Joint Venture partner , Saha Pathana Inter-Holding Plc. .",1
"For Q2 2010 , consolidated earnings before tax totaled EUR4 .5 m , compared to EUR3 .9 m , and net profit was EUR3 .2 m , compared to EUR2 .9 m in the previous year .",2
The shares carry a right to dividend and other shareholder rights as from their registration with the Finnish Trade Register .,1
"Arvo Vuorenmaa , the Loviisa plant 's general manager said the application for the new licence was a `` standard '' procedure and that he was `` quite confident '' about approval being granted .",2
The first quarter was as expected and was in line with analysts ' forecasts .,1
"Finland 's Neste Oil has been awarded the Chemical Industry Federation of Finland 's Innovation Award for its NExBTL technology , which enables biodiesel to be produced from vegetable oil and animal fat .",2
The company turned to earnings per share ( EPS ) of EUR 0.03 versus loss per share of EUR 0.01 .,2
Recently the company decided to build a second identical plant at the same site due to be commissioned toward the end of 2008 .,1
These savings will have full impact as of the beginning of 2007 .,1
The name of the buyer was not disclosed .,1
Nordstjernan has used its option to buy another 22.4 % stake of Salcomp 's shares and votes .,1
"Return on investment was 5.0 % , compared to a negative 4.1 % in 2009 .",2
"Stonesoft is a global provider of proven , next generation solutions that simplify network security management .",1
Aspo has also investigated the sales opportunities of Kaukomarkkinat 's electronics business .,1
"Tiimari , the Finnish retailer , reported to have geenrated quarterly revenues totalling EUR 1.3 mn in the 4th quarter 2009 , up from EUR 0.3 mn loss in 2008 .",2
The company specialises in temporary electrification and heating at construction sites .,1
This new partnership agreement represents a significant milestone for both parties .,2
"`` This contract demonstrates our ability to apply our minerals and metals technologies in adjacent industries , such as oil shale processing .",2
"According to the Act , universities can now acquire private funding .",1
"According to Swedish authorities , traces of the very toxic osmium tetroxide have been found on the coast of Per+ñmeri , the Northernmost part of the Gulf of Bothnia .",0
"Igor and Oleg Yankov , who currently manage Moron and Vitim , will hold onto the 25 % stake for now .",1
"Panostaja owns a 68.77 pct of share capital and the voting rights of Suomen Helasto shares following an exchange of shares which was carried out on May 30 , 2007 .",1
"The company , which makes garden tools , scissors and other consumer goods , said earnings were boosted by 6.9 mln eur of income it received from its 16.7 pct shareholding in Finnish engineering group Wartsila .",2
"Juha Jordan , chief engineer at Glaston , said one of the reasons for choosing Vacon as a global AC drives supplier is that it has service and support centres in the same countries where Glaston operates .",2
"Moreover , Konecranes and Kito intend to transfer the hoist distribution business of Konecranes ' Japanese joint venture MHS Konecranes to Kito .",1
"In the financial statement for the first quarter of 2010 , Tikkurila is reported under discontinued operations .",1
"Cablevision Systems Corp. CVC Their Madison Square Garden division owns and operates the New York Knickerbockers basketball team ; they also own the Madison Square Garden Arena , the New York Rangers hockey team , the New York Liberty women 's basketball team , and the Hartford Wolf Pack hockey team .",1
"In April-June 2008 , Scanfil 's net sales totalled EUR 58.7 mn and operating profit EUR 6.6 mn .",1
M-real 's sales are expected to have increased by 4 % year-on-year to EUR609m in the second quarter of 2010 .,2
`` Printed fabrics and related design expertise have always been the core of Marimekko 's business and brand .,1
"The contracts awarded to date , in connection with the system , amount to a total EUR 36 million .",1
Cameco is to provide an upfront investment of up to USD 60mn for the construction of the uranium extraction circuit .,1
"Under the agreement GeoSentric will provide GyPSii-powered hotel information and reservation services to visitors to China , including such popular cities as Beijing and Shanghai .",2
All YIT Capital Markets Day materials will be available on the company 's Internet site at www.yitgroup.com/investors at 10:30 on September 26 .,1
"The company intends to launch housing development at the acquired land plots and to construct 50,000-60 ,000 square metres of housing per annum by 2011 .",1
"A few months ago , Teva vice chairman Phillip Frost and Marathon Venture Capital Fund TASE : MARA sold Protalix shares .",1
"Both operating profit and net sales for the six-month period increased , respectively , from EUR13 .8 m and EUR143 .6 m , as compared to the corresponding period in 2007 .",2
Latvenergo has ordered a significant expansion to the Tekla Xpower network information system .,2
Mursula said they tried to gather macro-economic perspective to see how Malaysia was doing .,1
The companies signed the letter of intent for the sale on 17 September 2010 and envisaged to seal the actual agreement on 1 January 2011 .,1
"As a result of the cancellation , the maximum increase of Citycon 's share capital on the basis of the convertible bonds decreased from EUR 23,383,927.80 to EUR 22,901,784.75 .",1
"`` Installation of the automatic varnishing line is an important part of the company 's strategy in the region of central and eastern Europe , '' said Jozef Misurec , the director of Ruukki Slovakia .",2
The impact of Cableway to Teleste 's net sales in 2009 is estimated to be EUR 4 million .,1
"The company will use the money for product development and research activities through 2013 in its key markets Finland , Germany , Italy and France .",1
